Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
886,7819,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
887,7831,Omnivore,,,,,,,,,,,,Female,New Mexico,Graduate or professional degree,Neutral/Centrist,White,Jewish
889,7852,Omnivore,,,,,,,,,,,,Female,New Mexico,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
890,7884,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
891,7886,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Moderately Liberal,White,Jewish
892,7909,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
893,7920,Omnivore,,,,,,,,,,,,Male,Oregon,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
894,7922,Omnivore,,,,,,,,,,,,Female,Alabama,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
895,7939,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
896,7951,Vegan,Strong,Somewhat,Not at All,Mild,Strong,Somewhat,Not at All,Not at All,Not at All,Strong,30,Male,North Carolina,High school diploma (or equivalent),Strongly Conservative,African American or Black,Other religion (including two or more)
897,7956,Omnivore,,,,,,,,,,,,Female,South Dakota,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
898,7980,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
899,7982,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
900,8001,Omnivore,,,,,,,,,,,,Other,Hawaii,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
901,8012,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
902,8029,Omnivore,,,,,,,,,,,,Female,Utah,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
903,8050,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
904,8061,Omnivore,,,,,,,,,,,,Female,Indiana,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
905,8064,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,30,Female,New Mexico,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
906,8080,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
907,8083,Omnivore,,,,,,,,,,,,Male,Florida,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
909,8103,Omnivore,,,,,,,,,,,,Female,Massachusetts,"Some education after high school, no degree",Moderately Conservative,African American or Black,Other religion (including two or more)
910,8171,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,21,Female,Michigan,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
911,8210,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
912,8211,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
913,8213,Omnivore,,,,,,,,,,,,Female,North Carolina,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
914,8246,Omnivore,,,,,,,,,,,,Male,Hawaii,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
915,8264,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
916,8274,Omnivore,,,,,,,,,,,,Female,Montana,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
917,8288,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
918,8296,Omnivore,,,,,,,,,,,,Female,Indiana,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
919,8298,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
920,8303,Omnivore,,,,,,,,,,,,Male,Texas,Associate’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
921,8310,Omnivore,,,,,,,,,,,,Female,Minnesota,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
922,8334,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,22,Male,North Carolina,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
923,8360,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
924,8377,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
925,8405,Omnivore,,,,,,,,,,,,Female,Iowa,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
926,8411,Omnivore,,,,,,,,,,,,Male,Rhode Island,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
927,8414,Omnivore,,,,,,,,,,,,Female,Indiana,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
928,8420,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
929,8422,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
930,8434,Omnivore,,,,,,,,,,,,Female,Michigan,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
931,8440,Omnivore,,,,,,,,,,,,Female,Connecticut,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
932,8447,Omnivore,,,,,,,,,,,,Female,Connecticut,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
933,8450,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
934,8481,Omnivore,,,,,,,,,,,,Female,Tennessee,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
935,8486,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
936,8490,Omnivore,,,,,,,,,,,,Female,New Jersey,Bachelor’s degree,Strongly Conservative,White,Do not actively practice a religion
937,8491,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
938,8520,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
939,8523,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Strongly Conservative,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
940,8535,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,55,Female,Massachusetts,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
941,8545,Omnivore,,,,,,,,,,,,Male,Oregon,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
942,8551,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
943,8567,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
944,8576,Omnivore,,,,,,,,,,,,Male,Missouri,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
945,8584,Omnivore,,,,,,,,,,,,Female,South Carolina,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
946,8599,Omnivore,,,,,,,,,,,,Female,West Virginia,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
947,8602,Omnivore,,,,,,,,,,,,Female,North Dakota,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
948,8614,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
949,8621,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
950,8622,Omnivore,,,,,,,,,,,,Female,Texas,Graduate or professional degree,Neutral/Centrist,Other race/ethnicity (including two or more),Other religion (including two or more)
951,8646,Omnivore,,,,,,,,,,,,Male,Arizona,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
952,8650,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
953,8669,Vegan,Very Strong,Strong,Very Strong,Very Strong,Strong,Not at All,Very Strong,Very Strong,Mild,Very Strong,69,Male,Utah,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
954,8680,Omnivore,,,,,,,,,,,,Female,Louisiana,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
955,8689,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
956,8710,Omnivore,,,,,,,,,,,,Female,North Dakota,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
957,8724,Omnivore,,,,,,,,,,,,Male,Indiana,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
958,8742,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,53,Female,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
959,8767,Omnivore,,,,,,,,,,,,Female,New Mexico,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
960,8778,Omnivore,,,,,,,,,,,,Male,Washington,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
961,8793,Omnivore,,,,,,,,,,,,Female,Utah,"Some education after high school, no degree",Neutral/Centrist,Other race/ethnicity (including two or more),Do not actively practice a religion
962,8809,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
963,8819,Omnivore,,,,,,,,,,,,Female,New Jersey,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
964,8823,Vegetarian,Mild,Not at All,Not at All,Very Strong,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,31,Female,West Virginia,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
965,8828,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
966,8838,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
967,8842,Omnivore,,,,,,,,,,,,Male,Alabama,Graduate or professional degree,Moderately Conservative,Native American or Alaska Native,"Christian (Catholic, Protestant, etc.)"
968,8883,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
969,8887,Omnivore,,,,,,,,,,,,Female,Nebraska,Associate’s degree,Moderately Conservative,White,Do not actively practice a religion
970,8898,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
971,8910,Vegetarian,Very Strong,Not at All,Not at All,Somewhat,Not at All,Not at All,Not at All,Very Strong,Not at All,Very Strong,21,Female,West Virginia,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
972,8918,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,42,Female,North Carolina,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
973,8935,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Moderately Liberal,White,Jewish
974,8956,Vegetarian,Not at All,Not at All,Mild,Somewhat,Very Strong,Strong,Not at All,Not at All,Not at All,Not at All,50,Female,California,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Hindu
976,8981,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
977,8997,Omnivore,,,,,,,,,,,,Male,Massachusetts,Graduate or professional degree,Moderately Conservative,White,Jewish
978,8999,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Moderately Liberal,White,Jewish
979,9022,Omnivore,,,,,,,,,,,,Female,South Carolina,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
980,9039,Omnivore,,,,,,,,,,,,Male,Colorado,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
981,9040,Omnivore,,,,,,,,,,,,Male,Montana,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
982,9042,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,16,Male,Texas,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
983,9051,Omnivore,,,,,,,,,,,,Male,New Mexico,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
985,9076,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,26,Male,Massachusetts,High school diploma (or equivalent),Moderately Conservative,Middle Eastern,Buddhist
986,9085,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
987,9090,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Jewish
988,9092,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,19,Female,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
989,9104,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Neutral/Centrist,Indian,Hindu
990,9111,Omnivore,,,,,,,,,,,,Female,New Mexico,Graduate or professional degree,Neutral/Centrist,Native American or Alaska Native,Do not actively practice a religion
992,9120,Omnivore,,,,,,,,,,,,Female,Ohio,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
993,9123,Omnivore,,,,,,,,,,,,Female,Idaho,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
994,9143,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
995,9145,Omnivore,,,,,,,,,,,,Female,Iowa,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
996,9170,Omnivore,,,,,,,,,,,,Female,New Mexico,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
997,9175,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
998,9183,Omnivore,,,,,,,,,,,,Male,Minnesota,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1000,9207,Omnivore,,,,,,,,,,,,Female,Montana,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
1001,9217,Omnivore,,,,,,,,,,,,Male,Nevada,"Some education after high school, no degree",Moderately Liberal,White,Other religion (including two or more)
1002,9223,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1003,9250,Omnivore,,,,,,,,,,,,Male,North Dakota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1004,9255,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,25,Female,New Mexico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
1005,9264,Omnivore,,,,,,,,,,,,Female,Montana,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
1006,9279,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,19,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
1007,9285,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
